Link,Title,Loc,Sal,Summary
https://kr.indeed.com/viewjob?jk=9b09565fe78ef392,DX혁신부문 Tech Lab Senior Machine Learning...,이투스교육 서울 강남구,DX혁신부문 Tech Lab Senior Machine Learning...,,"반적인 백엔드 시스템 설계 및 개발 - ML/AI 시스템 아키텍쳐 설계 경험 - Python, scala, R 등 ML 및 통계 관련 언어 사용 경험 - 머신러닝 프레임워크 경험자 (TensorFlow, Caffe..."
https://kr.indeed.com/viewjob?jk=c0c4e2184e3885c0,대기업 검색엔진 개발 (대리과장급),차량IT 전문 기업 (대기업) 서울,대기업 검색엔진 개발 (대리과장급),,"5년이상 ~ 10년이하 - 정보검색에 대한 경험 보유 [기술스택] - OS : linux - 언어: java, scala, python, c++ 중 하나 이상의 언어 능숙자 - 프레임워크: spring boot - tool..."
https://kr.indeed.com/viewjob?jk=9681ee519a4f870e,게임밸런스 (게임 시뮬레이터),Success Korea 성남 분당구,게임밸런스 (게임 시뮬레이터),,자격요건] -프로그램 개발 경력 3년 이상이신 분 (언어 불문) - Scala 혹은 Python 등 새로운 언어의 학습 의지가 있으신 분 -숫자에 대한... 3년 이상이신 분 (언어 불문) - Scala 혹은 Python 등 새로운...
https://kr.indeed.com/viewjob?jk=3da2537c07ea7706,Platform server 개발자,Success Korea 성남 분당구,Platform server 개발자,,"서비스 및 플랫폼 아키텍처 설계 및 구현 [자격요건] -Java / scala (이외 C++, Go, Python 등)를 이용한 서버 개발 경력 3... 자격요건 -Java / scala (이외 C++, Go, Python 등..."
https://kr.indeed.com/viewjob?jk=74c4f418a78c820f,데이터 전문가,Success Korea 서울 삼성동,데이터 전문가,,"및 분석 경험 - 프로그래밍 언어 중 2가지 이상 능숙하게 사용(R, Scala, Python, Java) - 컴퓨터 사이언스 또는 통계 관련 박사학... 중 2가지 이상 능숙하게 사용(R, Scala, Python, Java..."
https://kr.indeed.com/viewjob?jk=18d4b759113240ca,개인화 추천서비스 개발,Success Korea 서울 삼성동,개인화 추천서비스 개발,,"개발 경험 - 다년간의 SQL 활용 경험 - Java 및 Python, Scala 프로그래밍 경험 - 컴퓨터 사이언스 또는 통계 관련 석/박사학위자... 경험 - Java 및 Python, Scala 프로그래밍 경험 - 컴퓨터..."
https://kr.indeed.com/viewjob?jk=417d3e24bac85b14,Analytics Engineer,Success Korea 서울 삼성동,Analytics Engineer,,"및 분석 경험 - 프로그래밍 언어 중 2가지 이상 능숙하게 사용(R, Scala, Python, Java) - Deep Learning 알고리즘 개발... 중 2가지 이상 능숙하게 사용(R, Scala, Python, Java..."
https://kr.indeed.com/viewjob?jk=8b43290c761c18b8,C++ Developer for SAP HANA Cloud Databas...,SAP 4.3 서울,C++ Developer for SAP HANA Cloud Databas...,,"Data Hadoop core service (HDFS, Hive, Zookeeper, Yarn, …) Scala, Spark, and akka framework Cloudera, Hortonworks, MapR Stream..."
https://kr.indeed.com/viewjob?jk=7d85150a375cfacf,[Search] BigData and AI Platform S/W엔지니어...,네이버 대한민국,[Search] BigData and AI Platform S/W엔지니어...,,1년 이상의 경력) - 리눅스 환경에서의 개발 경험 - 우수한 문제 분석 및 해결 능력 [우대요건] - Scala / Go / Java Script코드 읽기 가능 - 분산 컴퓨팅 또는 고가용성 시스템 경험 - BigData...
https://kr.indeed.com/viewjob?jk=5931380bf0919d90,제2020-1회 수리 및 계산 과학 연구단 데이터사이언스그룹 연구직,기초과학연구원 대전,제2020-1회 수리 및 계산 과학 연구단 데이터사이언스그룹 연구직,,컨퍼런스 혹은 국제저널 논문 게재자 · 분석언어와 도구를 하나 이상 능숙하게 다룰 수 있는 자(Python/R/ Scala/Scikit-learn/Spark/TensorFlow/PyTorch) · 로그 수준의 데이터를 가공하여...
https://kr.indeed.com/viewjob?jk=fe383fbe18dc32e1,[Search] [Vision] Computer Vision Resear...,네이버 대한민국,[Search] [Vision] Computer Vision Resear...,,"동영상 검색 , 비주얼 커머스 서비스 고도화에 기여 [자격요건] · Python, C++, Golang, Scala 등의 백엔드 개발 언어를 1 개 이상 자유롭게 활용 가능한 분 · Hadoop, Spark 등을 활용하여..."
https://kr.indeed.com/viewjob?jk=1937ebb0ea172f08,데이터 엔지니어,리디 서울특별시,데이터 엔지니어,,"구축 및 운영 경험 GA, Tableau 등 외부 분석/시각화 도구에 대한 지식 Python, Java, Scala 중 하나 이상을 이용한 개발 경험 [지원 시 유의 사항] 이름, E-mail, 연락 가능한 연락처는 필수..."
https://kr.indeed.com/viewjob?jk=ff52e5f9625f8f34,Machine Learning Engineer (LINE AI Servi...,LINE Plus corporation 성남 서현역,Machine Learning Engineer (LINE AI Servi...,,"Hadoop MR, Hive, Spark 등 대용량 처리 프레임워크 개발/사용 경험 - Python, Scala, SQL 등의 프로그래밍 언어를 사용할 수 있는 자 - 해외 출장/근무에 결격 사유가 없는 자 [우대사항..."
https://kr.indeed.com/viewjob?jk=a358a39da5dfc360,[NAVERxLINE] Global Ad Data Engineer/AI...,네이버 대한민국,[NAVERxLINE] Global Ad Data Engineer/AI...,,"Reliablity Engineering [자격요건 ] - Java, Scala, Python 등의 언어를 활용한 소프트웨어 개발 역량 - 리눅스... 분 - Python, Java, Scala 중 1개 이상의 언어를 활용한..."
https://kr.indeed.com/viewjob?jk=b35da47f5e84c9b4,콘텐츠서비스개발팀 - 데이터분석가,Nexon 성남 분당구,콘텐츠서비스개발팀 - 데이터분석가,,"및 커뮤니케이션 능력 - 새로운 기술 습득에 능동적이고 거부감이 없는 분 우대사항 - Python , Scala 을 이용한 데이터분석 능력 - SQL 기본 활용 능력 - 통계 및 분석에 대한 이론 지식 - 시각화..."
https://kr.indeed.com/viewjob?jk=85929aac498299cc,데이터 사이언스 전문가 및 머신러닝 전문가,카카오 4.2 성남 판교역,데이터 사이언스 전문가 및 머신러닝 전문가,,시기 바랍니다. 지원자격 개발 경력 2년 이상 머신 러닝/데이터 사이언스를 위한 언어(R/Python/ Scala) 및 도구(scikit-learn/Spark MLlib/Tensorflow/Pytorch 등)를 하나 이상...
https://kr.indeed.com/viewjob?jk=07375dc4e800dfa9,추천 시스템 소프트웨어 엔지니어,카카오 4.2 성남 판교역,추천 시스템 소프트웨어 엔지니어,,"하나의 분야에 뛰어나신 분을 선호함 키워드 프로그래밍 언어 Python, C/C++, Go, Java, Scala 시스템 HBase, YARN, Spark, Zookeeper SparkStreaming, Kafka..."
https://kr.indeed.com/viewjob?jk=f5f5f902d240ac96,Data Scientist,토스 서울 강남구,Data Scientist,,"경험 5년 이상 갖춘 분 실제 서비스 데이터를 이용한 분석모델 개발 경험이 있는 분 R, Python, Scala, SQL 등 데이터 분석의 업무를 수행할 수 있는 하나 이상의 개발 언어에 능숙한 분 우대 사항 Machine..."
https://kr.indeed.com/viewjob?jk=736eb193e417cee2,비즈개발실 서버 개발자 (경력),카카오 4.2 대한민국,비즈개발실 서버 개발자 (경력),,"래픽 서비스 개발 경험 (우대) Scala, NodeJS 개발 경험 (우대... 0 스펙에 대한 이해 (우대) 대용량 트래픽 서비스 개발 경험 (우대) Scala, NodeJS로 개발 경험 (우대) Hadoop Eco System..."
https://kr.indeed.com/viewjob?jk=d04fc2b73edbc742,데이터분석가(팀장급),리디 서울,데이터분석가(팀장급),,"활용 가능 데이터에 기반한 사고 능력 비즈니스 데이터 분석 실무 경험 데이터 처리 언어 (R, Python, Scala) 사용 경험 추가 정보 우대 사항 데이터 분석팀 리딩 경험 리디 서비스 사용 경험 통계 모델링 또는..."
https://kr.indeed.com/viewjob?jk=7c2410980030a622,ASSISTANT MANAGER - INCOME,Grand Hyatt Jeju 제주도 제주,ASSISTANT MANAGER - INCOME,,"inventory, ensuring all items are being charged and recorded in Scala. To keep an eye... Purchasing team... ensure..."
