Link,Title,Loc,Sal,Summary
https://kr.indeed.com/viewjob?jk=7376f377161ea4f2,저축은행 소비자금융본부 Data Science 팀,국내자본 저축은행 서울 구로구,저축은행 소비자금융본부 Data Science 팀,,"향구성 [자격요건] - 4년제 정규 대졸 이상 (통계, 수학, 산업공학 전공자 우대) - 통계프로그램(R, Python) 및 엑셀 활용가능자 - CSS운영 관리 경험자 [전형절차] 서류, 면접 2회 [제출서류] 이력서, 경력..."
https://kr.indeed.com/viewjob?jk=67e90e28e81d778d,데이터분석,Success Korea 서울,데이터분석,,고객분석/상품분석/추천/검색 관련 프로젝트 2개 이상의 경험 - R， Python， SQL 필수 [전형절차] 서류-면접 [제출서류] 국문이력서... 2개 이상의 경험 - R， Python， SQL 필수 [전형절차] 서류...
https://kr.indeed.com/viewjob?jk=dcc2877b33c5b511,보안 개발전문가,Success Korea 서울 삼성동,보안 개발전문가,,"요건] - 보안 취약점 점검 관련 경력 5년이상 - Java, PHP, Python 등의 언어로 프로그램 개발 필수 - IT인프라에 대한 지식 보유자... 년이상 - Java, PHP, Python 등의 언어로 프로그램 개발 필수..."
https://kr.indeed.com/viewjob?jk=bbf36187bf5002f0,서비스 개발 및 관리,Success Korea 서울,서비스 개발 및 관리,,경력 1년 이상 - PHP/ Python 등 웹프로그래밍 경력자 - APM... 출서류] 이력서 경력기술서 자격요건 - 경력 1년 이상 - PHP/ Python 등 웹프로그래밍 경력자 - APM 환경에서 시스템 구축의 전반에 대한...
https://kr.indeed.com/viewjob?jk=8cf3625826afa063,Data Mining 개발(3년이상 경력),에이치알 코리아 서울,Data Mining 개발(3년이상 경력),,"루션 지원자격 - 데이터 분석 역량 - 정형/비정형 데이터 마이닝 개발 역량 - 자연어 처리/ 검색엔진 개발 역량 보유자 우대 - 영상 마이닝 개발 경험 보유 우대 - Python, Hadoop, Spark 개발경험자 우대"
https://kr.indeed.com/viewjob?jk=4801b7535e8bc40d,서버 개발(사원~과장급),Success Korea 서울 가산디지털단지역,서버 개발(사원~과장급),,"회사소개 http... newemotion.co.kr 업무내용/자격요건 자격요건 - PHP, Python, Javascript - Mysql - OAuth - Amazon SQS - 대학교 수준의 알고리듬 / DB..."
https://kr.indeed.com/viewjob?jk=516545e5882be38c,시스템 엔지니어,Success Korea 서울 삼성동,시스템 엔지니어,,"을 도입하고 운영한 경험을 보유하신 분 - Shell, Perl, Python 중 1개 이상의 언어에 능숙하신 분 [전형절차] 서류전형-기술test... 분 - Shell, Perl, Python 중 1개 이상의 언어에 능숙하신..."
https://kr.indeed.com/viewjob?jk=a979e53aa387868c,보안개발자(ASAP),Success Korea 서울 삼성동,보안개발자(ASAP),,"요건] - 보안 취약점 점검 관련 경력 5년이상 - Java, PHP, Python 등의 언어(택1)로 자동화프로그램 개발 가능한 분 - IT인프라에... 5년이상 - Java, PHP, Python 등의 언어(택1)로 자동화프로..."
https://kr.indeed.com/viewjob?jk=bfb3ee6d45d67013,저축은행 디지털금융본부 Data Science 팀 CSS운영 경력자,국내자본 저축은행 서울 구로구,저축은행 디지털금융본부 Data Science 팀 CSS운영 경력자,,"략방향구성 [자격요건] - 4년제 정규 대졸 이상 (통계, 수학, 산업공학 전공자 우대) - 통계프로그램(R, Python) 및 엑셀 활용가능자 - CSS운영 관리 경험자 [전형절차] 서류, 면접 1~2회 [제출서류] 이력서..."
https://kr.indeed.com/viewjob?jk=18d4b759113240ca,개인화 추천서비스 개발,Success Korea 서울 삼성동,개인화 추천서비스 개발,,"응용시스템 개발 경험 - 다년간의 SQL 활용 경험 - Java 및 Python, Scala 프로그래밍 경험 - 컴퓨터 사이언스 또는 통계 관련 석... SQL 활용 경험 - Java 및 Python, Scala 프로그래밍 경험..."
